"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.101437030E-1,1.161786318E0,6.822277546E0,7.449558735E0
7.121456300E-1,1.133055925E0,6.712144375E0,7.516596317E0
7.141475570E-1,1.171363235E0,6.587646008E0,7.521384716E0
7.161494840E-1,1.243189216E0,6.496666431E0,7.502231121E0
7.181514110E-1,1.315015316E0,6.506243229E0,7.583633900E0
7.201533380E-1,1.425148606E0,6.539762020E0,7.612364292E0
7.221552650E-1,1.496974587E0,6.573280811E0,7.688978672E0
7.241571920E-1,1.564012289E0,6.625953197E0,7.842207432E0
7.261591190E-1,1.664568782E0,6.712144375E0,7.937975883E0
7.281610460E-1,1.726817966E0,6.745663166E0,7.904457092E0
7.301629740E-1,1.793855667E0,6.779181957E0,7.684190273E0
7.321649010E-1,1.798644066E0,6.817489147E0,7.387309551E0
7.341668280E-1,1.798644066E0,6.831854343E0,7.090428352E0
7.361687550E-1,1.789067268E0,6.851007938E0,6.894104004E0
7.381706820E-1,1.765125155E0,6.889315605E0,6.721721172E0
7.401726090E-1,1.741183162E0,6.908469200E0,6.721721172E0
7.421745360E-1,1.717241168E0,6.946776390E0,6.788758755E0
7.441764110E-1,1.707664371E0,7.032967567E0,6.932411194E0
7.461782860E-1,1.654991984E0,7.071274757E0,7.009025574E0
7.481801610E-1,1.616684675E0,7.128735542E0,7.090428352E0
7.501820360E-1,1.592742682E0,7.171831131E0,7.095216751E0
7.521839110E-1,1.583165884E0,7.214926720E0,7.133523941E0
7.541857860E-1,1.540070295E0,7.277175903E0,7.286752701E0
7.561876610E-1,1.496974587E0,7.406463146E0,7.521384716E0
7.581895360E-1,1.530493379E0,7.578845501E0,7.784746647E0
7.601914110E-1,1.540070295E0,7.736862659E0,7.880515099E0
7.621932860E-1,1.535281897E0,7.880515099E0,8.009801865E0
7.641951610E-1,1.554435492E0,8.115146637E0,8.244433403E0
7.661970360E-1,1.554435492E0,8.392873764E0,8.445546150E0
7.681989110E-1,1.587954283E0,8.479064941E0,8.488641739E0
7.702007860E-1,1.597531080E0,8.622717857E0,8.723274231E0
7.722026610E-1,1.631049871E0,8.680178642E0,8.943540573E0
7.742045360E-1,1.674145579E0,8.656236649E0,9.135076523E0
7.762064110E-1,1.798644066E0,8.780735016E0,9.408015251E0
7.782082860E-1,1.923142552E0,8.799888611E0,9.522936821E0
7.802101610E-1,2.109890223E0,8.728062630E0,9.633070946E0
7.822120360E-1,2.291849613E0,8.847772598E0,9.829395294E0
7.842139110E-1,2.459443808E0,8.814253807E0,9.920374870E0
7.862157860E-1,2.641402960E0,8.775946617E0,9.953893661E0
7.882176610E-1,2.813785553E0,8.665813446E0,9.968258858E0
7.902195360E-1,2.967014551E0,8.574832916E0,9.973047256E0
7.922214110E-1,3.129820108E0,8.440757751E0,1.000177765E1
7.942232860E-1,3.297414303E0,8.330624580E0,9.977835655E0
7.962251610E-1,3.445854902E0,8.076839447E0,9.882067680E0
7.982270360E-1,3.546411276E0,7.937975883E0,9.815030098E0
8.002289110E-1,3.670909643E0,7.645883083E0,9.704896927E0
8.022307860E-1,3.781043053E0,7.463923931E0,9.757569313E0
8.042326610E-1,3.848080635E0,7.420828342E0,9.896432877E0
8.062345360E-1,3.872022629E0,7.243657112E0,1.006402683E1
8.082364110E-1,3.876811028E0,7.267599106E0,1.037527275E1
8.102382860E-1,3.833715439E0,7.344213486E0,1.061469364E1
8.122401610E-1,3.761889458E0,7.478289127E0,1.088763237E1
8.142420360E-1,3.656544447E0,7.679401875E0,1.121803188E1
8.162439110E-1,3.579930067E0,7.827842236E0,1.148618221E1
8.182457860E-1,3.488950491E0,7.866149902E0,1.169208431E1
8.202476610E-1,3.465008497E0,7.818265438E0,1.183573627E1
8.222495360E-1,3.541622877E0,7.684190273E0,1.196502304E1
8.242514110E-1,3.527257681E0,7.789535046E0,1.208473301E1
8.262532860E-1,3.699640274E0,8.550890923E0,1.221401978E1
8.282551610E-1,3.843292236E0,9.800664902E0,1.243907452E1
8.302570360E-1,3.972579241E0,1.007360363E1,1.258272743E1
8.322589110E-1,4.039616585E0,9.642647743E0,1.268807220E1
8.342607860E-1,4.053982258E0,8.775946617E0,1.283172417E1
8.362626610E-1,4.125808239E0,8.344989777E0,1.308550930E1
8.382645360E-1,3.986944437E0,8.637083054E0,1.320043087E1
